key,title,tip
tip,TIPプラグイン,<img src='http://hororo.wp.xdomain.jp/wp-content/uploads/2016/04/tip_plugin-600x400.png'><br>「街」とか「428」とかのTIPみたいなプラグイン。
backlog,バックログプラグイン,<img src='http://hororo.wp.xdomain.jp/wp-content/uploads/2016/08/backlog2_01-600x419.jpg'><br>バックログを整形するプラグイン。
menu_se,メニューSE追加プラグイン,<img src='http://hororo.wp.xdomain.jp/wp-content/uploads/2017/10/se_menu-600x400.jpg'><br>メニューやセーブ・ロード画面にSEをするプラグイン。
glyph,glyphプラグイン,<img src='http://hororo.wp.xdomain.jp/wp-content/uploads/2016/08/glyph-600x400.jpg'><br> [glyph]タグ使用時もインライン表示ができるプラグイン。
message_edge,メッセージ縁取りプラグイン,<img src='http://hororo.wp.xdomain.jp/wp-content/uploads/2016/05/edge_builder_02-600x419.jpg'><br>全てのメッセージエリアで、縁取り・影設定を有効にするプラグインです。
message_frame,メッセージ枠調整プラグイン,<img src='http://hororo.wp.xdomain.jp/wp-content/uploads/2018/03/position_02-600x400.jpg'><br>メッセージ枠関係の強制的な指定を解消したりするプラグイン。
